Bitki Adi,Hastalik veya Zararli,Etken Madde
Bilinmiyor,"Sebzelerde beyazsinek (Bemisia tabaci, Trialeurodes vaporariorum)",60 g/l Orange oil
Bilinmiyor,"Çiçek tripsi, Tütün tripsi (Frankliniella occidentalis, Thrips tabaci)",480 g/l Spinosad
Bilinmiyor,"Çiçek tripsi, Tütün tripsi (Frankliniella occidentalis, Thrips tabaci)",100 g/l Cyantraniliprole
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",480 g/l Spinosad
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",480 g/l Spinosad
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",100 g/l Cyantraniliprole
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",480 g/l Spinosad
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",100 g/l Cyantraniliprole
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",480 g/l Spinosad
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",100 g/l Cyantraniliprole
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",100 g/l Cyantraniliprole
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",480 g/l Spinosad
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",480 g/l Spinosad
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",100 g/l Cyantraniliprole
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",100 g/l Cyantraniliprole
Bilinmiyor,"Toprak pireleri (Phyllotreta atra, P. nigripens, P. crucifera, Epithrix sp.)",480 g/l Spinosad
